52i,,2,t,d,2,2,,hil,seh
52o,,0,_,h,1,1,,i
52o,,0,_,h,1,1,,kau
52o,,0,_,h,1,1,,li
52o,,0,_,j,1,1,,kir
52o,,0,_,j,1,1,,lah
52o,,0,_,j,1,1,,mar
52o,,0,_,j,1,1,,mur
52o,,0,_,j,1,1,,pu
52o,,0,_,j,1,1,,ruh
52o,,0,_,j,1,1,,sar
52o,,0,_,k,1,1,,kat
52o,,0,_,k,1,1,,kis
52o,,0,_,k,1,1,,loh
52o,,0,_,k,1,1,,nah
52o,,0,_,k,1,1,,pais
52o,,0,_,k,1,1,,puh
52o,,0,_,k,1,1,,rat
52o,,0,_,k,1,1,,us
52o,,0,_,k,1,1,,vis
52o,,0,_,l,1,1,,ko
52o,,0,_,l,1,1,,me
52o,,0,_,l,1,1,,neu
52o,,0,_,l,1,1,,pa
52o,,0,_,l,1,1,,seu
52o,,0,_,l,1,1,,sul
52o,,0,_,l,1,1,,tal
52o,,0,_,l,1,1,,te
52o,,0,_,l,1,1,,vel
52o,,0,_,l,1,1,,vih
52o,,0,_,l,2,1,,sai
52o,,0,_,m,1,1,,kam
52o,,0,_,m,1,1,,ker
52o,,0,_,m,1,1,,vih
52o,,0,_,n,1,1,,a
52o,,0,_,n,1,1,,hen
52o,,0,_,n,1,1,,pu
52o,,0,_,n,1,1,,run
52o,,0,_,n,1,1,,sa
52o,,0,_,n,1,1,,sau
52o,,0,_,n,1,1,,van
52o,,0,_,p,1,1,,paa
52o,,0,_,r,1,1,,ha
52o,,0,_,r,1,1,,haa
52o,,0,_,r,1,1,,hie
52o,,0,_,r,1,1,,ju
52o,,0,_,r,1,1,,ku
52o,,0,_,r,1,1,,va
52o,,0,_,r,1,1,,vie
52o,,0,_,s,1,1,,kat
52o,,0,_,s,1,1,,liet
52o,,0,_,s,1,1,,me
52o,,0,_,s,1,1,,pen
52o,,0,_,s,1,1,,ri
52o,,0,_,s,1,1,,sei
52o,,0,_,s,1,1,,va
52o,,0,_,s,1,1,,var
52o,,0,_,s,1,1,,ve
52o,,0,_,s,1,1,,ver
52o,,0,_,s,1,1,,vit
52o,,0,_,t,1,1,,pirs
52o,,0,_,t,1,1,,ses
52o,,0,_,t,1,1,,vas
52o,,0,_,v,1,1,,kar
52o,,0,_,v,1,1,,lat
52o,,0,_,v,1,1,,neu
